price,datetime
127.410182379,2020-01-02 23:59:59.999
134.171712485,2020-01-03 23:59:59.999
135.069371268,2020-01-04 23:59:59.999
136.276776707,2020-01-05 23:59:59.999
144.30415371,2020-01-06 23:59:59.999
143.543998337,2020-01-07 23:59:59.999
141.258134415,2020-01-08 23:59:59.999
138.979196656,2020-01-09 23:59:59.999
143.963781218,2020-01-10 23:59:59.999
142.927114494,2020-01-11 23:59:59.999
145.873931189,2020-01-12 23:59:59.999
144.226591141,2020-01-13 23:59:59.999
165.955358611,2020-01-14 23:59:59.999
166.230685102,2020-01-15 23:59:59.999
164.391010988,2020-01-16 23:59:59.999
170.77995796,2020-01-17 23:59:59.999
175.36567147,2020-01-18 23:59:59.999
166.969841975,2020-01-19 23:59:59.999
167.120509335,2020-01-20 23:59:59.999
169.69716391,2020-01-21 23:59:59.999
168.294161709,2020-01-22 23:59:59.999
162.928558428,2020-01-23 23:59:59.999
163.051182861,2020-01-24 23:59:59.999
161.283936353,2020-01-25 23:59:59.999
168.077100489,2020-01-26 23:59:59.999
170.930890433,2020-01-27 23:59:59.999
176.370320541,2020-01-28 23:59:59.999
175.050337929,2020-01-29 23:59:59.999
184.690476436,2020-01-30 23:59:59.999
180.160175239,2020-01-31 23:59:59.999
183.673947121,2020-02-01 23:59:59.999
188.617538168,2020-02-02 23:59:59.999
189.865063235,2020-02-03 23:59:59.999
189.250602393,2020-02-04 23:59:59.999
204.230244698,2020-02-05 23:59:59.999
212.339079745,2020-02-06 23:59:59.999
222.72606629,2020-02-07 23:59:59.999
223.146521744,2020-02-08 23:59:59.999
228.578569991,2020-02-09 23:59:59.999
223.52269963,2020-02-10 23:59:59.999
235.851199501,2020-02-11 23:59:59.999
265.406126106,2020-02-12 23:59:59.999
268.099256044,2020-02-13 23:59:59.999
284.217509609,2020-02-14 23:59:59.999
264.728585265,2020-02-15 23:59:59.999
259.894703492,2020-02-16 23:59:59.999
266.363446303,2020-02-17 23:59:59.999
281.944579134,2020-02-18 23:59:59.999
259.763962739,2020-02-19 23:59:59.999
257.949455024,2020-02-20 23:59:59.999
265.600612524,2020-02-21 23:59:59.999
262.331720974,2020-02-22 23:59:59.999
273.754156046,2020-02-23 23:59:59.999
265.216417336,2020-02-24 23:59:59.999
247.817592279,2020-02-25 23:59:59.999
225.680265514,2020-02-26 23:59:59.999
226.753395276,2020-02-27 23:59:59.999
